,Compound,Negative,Neutral,Positive,Source,Tweet Date,Tweet Text,Tweets Ago
0,-0.5423,0.149,0.149,0.0,@BBC,2018-03-29 18:14:24,"@BBC If they don't inform you, it's a crime because you are Prime Minister of this country and it's a diplomatic is… https://t.co/VwKXbPubca",1
1,0.3415,0.0,0.0,0.099,@BBC,2018-03-29 18:14:20,"RT @Femi_Sorry: Oh and as a side note @BBC, even by your somewhat special definition of balance, putting me in a room with 5 brexiters, and…",2
2,0.8689,0.0,0.0,0.412,@BBC,2018-03-29 18:14:07,Thanks to the @BBC and Ewan and Colin McGregor for a beautiful and respectful documentary on the @RoyalAirForce,3
3,0.0,0.0,0.0,0.0,@BBC,2018-03-29 18:13:52,Someone should get a job @BBC @TheEconomist or any polling agency. https://t.co/xhUZOgfSBw,4
4,0.3415,0.0,0.0,0.099,@BBC,2018-03-29 18:13:35,"RT @Femi_Sorry: Oh and as a side note @BBC, even by your somewhat special definition of balance, putting me in a room with 5 brexiters, and…",5
5,0.3415,0.0,0.0,0.099,@BBC,2018-03-29 18:13:02,"RT @Femi_Sorry: Oh and as a side note @BBC, even by your somewhat special definition of balance, putting me in a room with 5 brexiters, and…",6
6,0.4522,0.1,0.1,0.179,@BBC,2018-03-29 18:12:18,"RT @BBC: ❤️ 'That was it I just totally fell in love with art.'

🎶 How grime changed Ade Adesina's life. https://t.co/eDyh75YBvl",7
7,0.4404,0.0,0.0,0.127,@BBC,2018-03-29 18:12:17,"@JCSTheMusical @nbc ALW ,didn't write the hits. Hope there will be old copy found. He acquired the hits illegally w… https://t.co/3Zo2YRYtYa",8
8,0.4939,0.0,0.0,0.186,@BBC,2018-03-29 18:12:05,"RT @LRobertols: @CAT_memoria @QuicoSalles @DerSPIEGEL @ScotNational @BBC @nytimes 

police with pepper spray against peaceful population",9
9,-0.3164,0.364,0.364,0.0,@BBC,2018-03-29 18:11:31,RT @BBC: ✊ Plastic protest! https://t.co/9m59wayYH8,10
10,0.0772,0.0,0.0,0.067,@BBC,2018-03-29 18:10:46,"RT @LJRoue: Today has been intense - re-launch of the @MENBusinessDesk magazine, morning chat with @LeeDentithDrNow about telehealth and a…",11
11,-0.3612,0.122,0.122,0.0,@BBC,2018-03-29 18:09:55,RT @HAKKIYEMEZLER: Detention of Turkish nationals in KOSOVO and their unlawful extradition to Turkey. Turkish spy agency transfers 6 abduct…,12
12,-0.6908,0.213,0.213,0.0,@BBC,2018-03-29 18:09:50,RT @scarlettpeach: Biggest example of #BBCBrexitBias is the obsession with Nigel Farage who has failed to be elected as an MP (can't rememb…,13
13,-0.3612,0.161,0.161,0.0,@BBC,2018-03-29 18:09:40,@benking01 @TheEconomist @colourblindorg @Economist is a repeat offender against the #colourblind regarding the vis… https://t.co/EKQdMbahZ3,14
14,0.0,0.0,0.0,0.0,@BBC,2018-03-29 18:09:29,"RT @TookEnglandBack: What we need is for all Remoaner traitors, @bbc and @SkyNews journalists to be SACKED and replaced with cheaper East E…",15
15,-0.5719,0.236,0.236,0.0,@BBC,2018-03-29 18:08:55,@The_Leaver @HuntedTeamNick @mrchrisnewton @carolecadwalla @BBC What a pathetic interpretation of Nick’s tweet. The… https://t.co/vPneBas5O7,16
16,-0.7351,0.228,0.228,0.0,@BBC,2018-03-29 18:08:47,"RT @Hmmckenna: Democracy is failing 🙁

The biggest election scandal the UK has ever witnessed. Yet you couldn’t fill a red bus with the num…",17
17,0.784,0.0,0.0,0.317,@BBC,2018-03-29 18:08:44,RT @BBC: 🐶❤️ Biscuit the robotic pup is helping the elderly cope with conditions like dementia. What a good boy! https://t.co/5vpg6KS031,18
18,0.0,0.0,0.0,0.0,@BBC,2018-03-29 18:08:37,@BBC I'm in! @LukeyBonthetrak you in?,19
19,-0.4588,0.111,0.111,0.044,@BBC,2018-03-29 18:08:28,"RT @BBC: The number of children living in relative poverty in the UK has risen to 4.1m. 

This is the story of Tyler, one of those children…",20
20,0.0,0.0,0.0,0.0,@BBC,2018-03-29 18:08:14,"@CNN @Foxnews @BBC @reuters 

Check out @RafatiMarah’s Tweet: https://t.co/YL7IHAIOSH",21
21,0.3182,0.0,0.0,0.223,@BBC,2018-03-29 18:07:49,@BBC @Avi_L_Hamilton_ I think having a Bee as a pet is cool,22
22,-0.7861,0.274,0.274,0.0,@BBC,2018-03-29 18:07:38,No one want's to pay to hear a LIAR! @MSNBC @NBC @ABC @CBS @CNN @BBC Hillary Clinton is back in N.J. today for a so… https://t.co/5ZH1FgMJxv,23
23,-0.6177,0.24,0.24,0.0,@BBC,2018-03-29 18:07:20,"RT @nyeannebevan: @cosmiclandmine He's completely involved in this propaganda smear!  He's got form - remember his cringeworthy ""staged"" pe…",24
24,0.0,0.0,0.0,0.0,@BBC,2018-03-29 18:06:55,"RT @BBC: 🎹🎶 Why it's never too late to learn an instrument. 
👉 https://t.co/lbBppX8XlO

#PianoDay https://t.co/x1CegC7iho",25
25,-0.3164,0.364,0.364,0.0,@BBC,2018-03-29 18:06:54,RT @BBC: ✊ Plastic protest! https://t.co/9m59wayYH8,26
26,0.3415,0.0,0.0,0.099,@BBC,2018-03-29 18:06:45,"RT @Femi_Sorry: Oh and as a side note @BBC, even by your somewhat special definition of balance, putting me in a room with 5 brexiters, and…",27
27,-0.3612,0.122,0.122,0.0,@BBC,2018-03-29 18:06:36,RT @HAKKIYEMEZLER: Detention of Turkish nationals in KOSOVO and their unlawful extradition to Turkey. Turkish spy agency transfers 6 abduct…,28
28,0.0,0.0,0.0,0.0,@BBC,2018-03-29 18:05:46,@BBC Thread: https://t.co/ioBQgfccGC,29
29,-0.5719,0.198,0.198,0.0,@BBC,2018-03-29 18:05:17,"RT @GhioLena: Under the chaos, there are Angels https://t.co/QNKxFaaI5I @BBCScienceNews  @BBC @BBCWorld @BBCEarth @bbcarts @BBCFrontRow @CN…",30
30,-0.3612,0.122,0.122,0.0,@BBC,2018-03-29 18:05:16,RT @HAKKIYEMEZLER: Detention of Turkish nationals in KOSOVO and their unlawful extradition to Turkey. Turkish spy agency transfers 6 abduct…,31
31,0.0,0.0,0.0,0.0,@BBC,2018-03-29 18:05:15,"""The barristers' profession represents everyone in society. The only way to do that is if we remove the barriors"" -… https://t.co/lECfsKqHrQ",32
32,0.8331,0.0,0.0,0.343,@BBC,2018-03-29 18:04:58,RT @GhioLena: Transdisciplinary Art at its best and reason to HOPE: https://t.co/F1zWA8Qruo @BBCScienceNews  @BBC @BBCWorld @BBCEarth @bbca…,33
33,-0.5413,0.17,0.17,0.0,@BBC,2018-03-29 18:04:43,@medialens @ggreenwald @BBCNews @BBC journalists are exceptionally arrogant. It’s not just one or two of them. Neve… https://t.co/5jihMJRuWf,34
34,-0.3612,0.122,0.122,0.0,@BBC,2018-03-29 18:04:37,RT @HAKKIYEMEZLER: Detention of Turkish nationals in KOSOVO and their unlawful extradition to Turkey. Turkish spy agency transfers 6 abduct…,35
35,0.0,0.0,0.0,0.0,@BBC,2018-03-29 18:04:24,@ABCaustralia @newyorktimes110 @guardian @ScotNational @BBC @NZZ  @Y7News @ScotNational https://t.co/DILxcl3FAm,36
36,0.2732,0.0,0.0,0.344,@BBC,2018-03-29 18:04:21,@jongerlachfit @BBC Oh well. 🤷🏻‍♂️,37
37,-0.3164,0.364,0.364,0.0,@BBC,2018-03-29 18:04:19,RT @BBC: ✊ Plastic protest! https://t.co/9m59wayYH8,38
38,-0.3612,0.122,0.122,0.0,@BBC,2018-03-29 18:04:19,RT @HAKKIYEMEZLER: Detention of Turkish nationals in KOSOVO and their unlawful extradition to Turkey. Turkish spy agency transfers 6 abduct…,39
39,0.0,0.0,0.0,0.0,@BBC,2018-03-29 18:04:03,@evertonfc2 @albaforeurope @MichaelLCrick @Conservatives @BBC @BBCNews Same with @GOP Copland trumpstain in America… https://t.co/TQoeQfygTm,40
40,-0.3164,0.364,0.364,0.0,@BBC,2018-03-29 18:03:45,RT @BBC: ✊ Plastic protest! https://t.co/9m59wayYH8,41
41,0.0,0.0,0.0,0.0,@BBC,2018-03-29 18:03:37,RT @GoldenOldieC: @BBCTomSymonds @georgegalloway Wonder how many people came into contact with Skripals? @NHS Consultant says in letter to…,42
42,0.0,0.0,0.0,0.0,@BBC,2018-03-29 18:03:23,"RT @evertonfc2: @albaforeurope @MichaelLCrick @Conservatives @BBC @BBCNews We know completely what their game is, and how they have gone ab…",43
43,-0.9494,0.466,0.466,0.0,@BBC,2018-03-29 18:03:22,WTF is WRONG w/ this Pope? He is Satanic?? @ABC @CNN @BBC @MSNBC @CBSPope Francis: 'There Is No Hell' https://t.co/OGAk4io2mf via @cnsnews,44
44,0.0,0.0,0.0,0.0,@BBC,2018-03-29 18:03:18,"RT @AfricanTears05: #ManchoBibixy #FreeManchoBibixy

#Arrested since #Thurs19Jan2017

432ds|1yr,2mths,8ds

He didn't beat/kill anyone burn…",45
45,0.25,0.123,0.123,0.217,@BBC,2018-03-29 18:03:13,Well this for you’ll to agree or to disagree @TheSource @NSAGov @GMA @BBCBreaking @BBC @AboutTheBBC @AlJazeera… https://t.co/gRr6tCRd2K,46
46,-0.3612,0.122,0.122,0.0,@BBC,2018-03-29 18:03:03,RT @HAKKIYEMEZLER: Detention of Turkish nationals in KOSOVO and their unlawful extradition to Turkey. Turkish spy agency transfers 6 abduct…,47
47,-0.3164,0.364,0.364,0.0,@BBC,2018-03-29 18:02:58,RT @BBC: ✊ Plastic protest! https://t.co/9m59wayYH8,48
48,-0.3612,0.122,0.122,0.0,@BBC,2018-03-29 18:02:39,RT @HAKKIYEMEZLER: Detention of Turkish nationals in KOSOVO and their unlawful extradition to Turkey. Turkish spy agency transfers 6 abduct…,49
49,-0.851,0.423,0.423,0.079,@BBC,2018-03-29 18:02:37,I am shocked and appalled that the BBC would allow this vile filth. #BanGraham #FreeDankula #Antisemitism… https://t.co/gemsw4SmrL,50
50,0.0,0.0,0.0,0.0,@BBC,2018-03-29 18:02:32,"RT @evertonfc2: @albaforeurope @MichaelLCrick @Conservatives @BBC @BBCNews We know completely what their game is, and how they have gone ab…",51
51,0.4939,0.0,0.0,0.186,@BBC,2018-03-29 18:02:27,"RT @LRobertols: @CAT_memoria @QuicoSalles @DerSPIEGEL @ScotNational @BBC @nytimes 

police with pepper spray against peaceful population",52
