,Compound,Negative,Neutral,Positive,Source,Tweet Date,Tweet Text,Tweets Ago
0,0.0,0.0,0.0,0.0,@BBC,2018-06-08 22:10:50,@BBCWorld @BBC https://t.co/6S0eevZONc,1
1,0.0,0.0,0.0,0.0,@BBC,2018-06-08 22:10:40,RT @Johnkamau7: @beverlyfelix3 @hickoryhill8520 @loratoug @DrLynnList @ToddTrotter3 @WhatASaviour7 @aref4950 @AntonyRugui @dibie_joy @poemo…,2
2,0.0,0.0,0.0,0.0,@BBC,2018-06-08 22:10:39,"RT @BBC: 🎶 Tonight, @ArcticMonkeys perform live for @BBCR1 at the legendary Maida Vale studios.

Artic Monkeys Live at the BBC | 11:05pm |…",3
3,0.6892,0.0,0.0,0.206,@BBC,2018-06-08 22:10:36,"@EB1caneyeB @Otto_English @MIkef45 @BBC When you think about it, ‘we’ subsidise TPA through our TV licenses! It’s a great system!",4
4,0.0,0.0,0.0,0.0,@BBC,2018-06-08 22:10:31,RT @Johnkamau7: @beverlyfelix3 @hickoryhill8520 @loratoug @DrLynnList @ToddTrotter3 @WhatASaviour7 @aref4950 @AntonyRugui @dibie_joy @poemo…,5
5,0.0,0.0,0.0,0.0,@BBC,2018-06-08 22:10:07,"RT @BBC: 🌊💙 A message from Sir David Attenborough for #WorldOceansDay. 
 https://t.co/778x4RMMRv",6
6,0.0,0.0,0.0,0.0,@BBC,2018-06-08 22:09:46,"RT @BBC6Music: Our #HearHer day is part of the @BBC’s Hear Her season, to mark 100 years since some women got the vote. Learn lots more at…",7
7,0.8271,0.0,0.0,0.293,@BBC,2018-06-08 22:09:20,RT @NijaActivist: Finally this Sars Guy got to my best friend today #EndSars Story so long but I’m glad he’s Out @segalink @BBCBreaking @BB…,8
8,0.8271,0.0,0.0,0.293,@BBC,2018-06-08 22:09:02,RT @NijaActivist: Finally this Sars Guy got to my best friend today #EndSars Story so long but I’m glad he’s Out @segalink @BBCBreaking @BB…,9
9,-0.8056,0.248,0.248,0.0,@BBC,2018-06-08 22:08:37,"RT @rick135b7: HINDU LADIES TALK ABOUT THE MASSACRES IN THEIR VILLAGES, AND THE LIES THEY WERE FORCED TO SAY - BY THE BENGALI MUSLIMS (so-c…",10
10,-0.3089,0.148,0.148,0.0,@BBC,2018-06-08 22:07:37,"RT @BBC: 'If the oceans don't stay healthy, human beings are doomed.' 
#WorldOceansDay https://t.co/5aTLEHZ9Mi",11
11,0.4215,0.0,0.0,0.113,@BBC,2018-06-08 22:07:24,"RT @ProSoundNews: NIGHT RECAP: @BBC to Close Iconic Maida Vale Studios, which hosted sessions from the likes of Bing Crosby, the Beatles an…",12
12,0.0,0.0,0.0,0.0,@BBC,2018-06-08 22:06:36,"RT @BBC: 🌊💙 A message from Sir David Attenborough for #WorldOceansDay. 
 https://t.co/778x4RMMRv",13
13,0.8271,0.0,0.0,0.293,@BBC,2018-06-08 22:06:28,RT @NijaActivist: Finally this Sars Guy got to my best friend today #EndSars Story so long but I’m glad he’s Out @segalink @BBCBreaking @BB…,14
14,0.0,0.0,0.0,0.0,@BBC,2018-06-08 22:06:17,RT @emmancipator: @MsActiviss @MamaRose2017 @FBI @DNC @IndivisibleNet @AP @BBC @FRANCE24 @funder @Rosie @JimCarrey @Alyssa_Milano @robreine…,15
